time,House overall,Dishwasher,Home office,Fridge,Wine cellar,Garage door,Barn,Well,Microwave,Living room,Furnace,Kitchen,Solar,temperature,humidity,visibility,apparentTemperature,pressure,windSpeed,cloudCover,windBearing,precipIntensity,dewPoint,precipProbability
2016-01-01 05:00:00,0.932833333,3.33e-05,0.442633333,0.12415,0.006983333,0.013083333,0.03135,0.001016667,0.004066667,0.001516667,0.082616667,0.000566667,0.003483333,36.14,0.62,10.0,29.26,1016.91,9.18,0.75,282.0,0.0,24.4,0.0
2016-01-01 05:01:00,0.934333333,0.0,0.444066667,0.124,0.006983333,0.013116667,0.0315,0.001016667,0.004066667,0.00165,0.08453333399999999,0.000566667,0.003466667,36.14,0.62,10.0,29.26,1016.91,9.18,0.75,282.0,0.0,24.4,0.0
2016-01-01 05:02:00,0.931816667,1.67e-05,0.446066667,0.123533333,0.006983333,0.013083333,0.031516667,0.001,0.004066667,0.00165,0.083016667,0.0006167000000000001,0.003466667,36.14,0.62,10.0,29.26,1016.91,9.18,0.75,282.0,0.0,24.4,0.0
2016-01-01 05:03:00,1.02205,1.67e-05,0.446583333,0.123133333,0.006983333,0.013,0.0315,0.001016667,0.004066667,0.001616667,0.175416667,0.00065,0.003483333,36.14,0.62,10.0,29.26,1016.91,9.18,0.75,282.0,0.0,24.4,0.0
2016-01-01 05:04:00,1.1394,0.000133333,0.446533333,0.12285,0.00685,0.012783333,0.0315,0.001016667,0.004066667,0.001583333,0.300916666,0.000783333,0.003466667,36.14,0.62,10.0,29.26,1016.91,9.18,0.75,282.0,0.0,24.4,0.0
2016-01-01 05:05:00,1.391866667,0.000283333,0.447033333,0.1223,0.006716667,0.012433333,0.03145,0.001016667,0.004066667,0.001583333,0.566916667,0.00105,0.003433333,36.14,0.62,10.0,29.26,1016.91,9.18,0.75,282.0,0.0,24.4,0.0
2016-01-01 05:06:00,1.366216667,0.000283333,0.443266667,0.12205,0.006733333,0.012416667,0.03155,0.001033333,0.004116667,0.001533333,0.5631166670000001,0.0010666669999999999,0.00345,36.14,0.62,10.0,29.26,1016.91,9.18,0.75,282.0,0.0,24.4,0.0
2016-01-01 05:07:00,1.4319,0.00025,0.444283333,0.1218,0.006783333,0.01255,0.031733333,0.001033333,0.0042,0.00155,0.6565000000000001,0.000933333,0.003416667,36.14,0.62,10.0,29.26,1016.91,9.18,0.75,282.0,0.0,24.4,0.0
2016-01-01 05:08:00,1.6273,0.000183333,0.441466667,0.121616667,0.00695,0.012716667,0.031766667,0.001016667,0.0042,0.001566667,0.81335,0.000783367,0.003416667,36.14,0.62,10.0,29.26,1016.91,9.18,0.75,282.0,0.0,24.4,0.0
2016-01-01 05:09:00,1.735383333,1.67e-05,0.438733333,0.121633333,0.007233333,0.01335,0.031666667,0.001016667,0.0042,0.001616667,0.85405,0.000416667,0.003416667,36.14,0.62,10.0,29.26,1016.91,9.18,0.75,282.0,0.0,24.4,0.0
2016-01-01 05:10:00,1.585083333,5e-05,0.4402,0.12145,0.007433333,0.013583333,0.031666667,0.001,0.0042,0.001566667,0.7008333330000001,0.000499967,0.003416667,36.14,0.62,10.0,29.26,1016.91,9.18,0.75,282.0,0.0,24.4,0.0
2016-01-01 05:11:00,1.510316667,3.33e-05,0.43695,0.12125,0.007316667,0.013533333,0.03175,0.001,0.0042,0.001566667,0.642633334,0.000433333,0.003433333,36.14,0.62,10.0,29.26,1016.91,9.18,0.75,282.0,0.0,24.4,0.0
2016-01-01 05:12:00,1.459866667,5e-05,0.43995,0.121033333,0.007233333,0.013516667,0.031783333,0.001,0.004216667,0.001583333,0.59935,0.00046666700000000004,0.00345,36.14,0.62,10.0,29.26,1016.91,9.18,0.75,282.0,0.0,24.4,0.0
2016-01-01 05:13:00,0.840583333,0.0,0.444783333,0.035016667,0.007033333,0.013183333,0.031783333,0.001016667,0.004216667,0.001616667,0.16575,0.0008500329999999999,0.003433333,36.14,0.62,10.0,29.26,1016.91,9.18,0.75,282.0,0.0,24.4,0.0
2016-01-01 05:14:00,0.7032,1.67e-05,0.443833333,0.004783333,0.006966667,0.013116667,0.03175,0.001016667,0.004233333,0.00155,0.0827,0.0009666659999999999,0.003433333,36.14,0.62,10.0,29.26,1016.91,9.18,0.75,282.0,0.0,24.4,0.0
2016-01-01 05:15:00,0.571883333,0.0,0.307783333,0.004916667,0.00705,0.0131,0.031733333,0.001,0.004216667,0.001583333,0.0843,0.0008833329999999999,0.00345,36.14,0.62,10.0,29.26,1016.91,9.18,0.75,282.0,0.0,24.4,0.0
2016-01-01 05:16:00,0.485733333,1.67e-05,0.22045,0.004983333,0.007033333,0.013116667,0.031833333,0.001,0.004233333,0.001616667,0.08405,0.0008333,0.00345,36.14,0.62,10.0,29.26,1016.91,9.18,0.75,282.0,0.0,24.4,0.0
2016-01-01 05:17:00,0.523166667,0.0,0.26005,0.00495,0.007,0.013083333,0.03185,0.001016667,0.00425,0.001716667,0.08275,0.000850033,0.003433333,36.14,0.62,10.0,29.26,1016.91,9.18,0.75,282.0,0.0,24.4,0.0
2016-01-01 05:18:00,0.5362,0.0,0.272066667,0.00495,0.007033333,0.01315,0.031866667,0.001016667,0.004233333,0.00165,0.0836,0.00085,0.00345,36.14,0.62,10.0,29.26,1016.91,9.18,0.75,282.0,0.0,24.4,0.0
2016-01-01 05:19:00,0.53415,1.67e-05,0.270066667,0.00495,0.0071,0.01315,0.0319,0.001,0.004233333,0.00175,0.083316667,0.000833333,0.00345,36.14,0.62,10.0,29.26,1016.91,9.18,0.75,282.0,0.0,24.4,0.0
2016-01-01 05:20:00,0.533816667,0.0,0.270033333,0.00495,0.007033333,0.013116667,0.031816667,0.001016667,0.004233333,0.001566667,0.08360000000000001,0.0008500000000000001,0.00345,36.14,0.62,10.0,29.26,1016.91,9.18,0.75,282.0,0.0,24.4,0.0
